method,condition,corruption_type,severity,faa,rsa,valid_box_rate,box_revision_rate,answer_flip_rate,recovery_rate,n_examples
textual,clean,clean,0,0.750,,,,,,20
textual,blur-1,blur,1.0,0.700,,,,,,20
textual,blur-3,blur,3.0,0.700,,,,,,20
textual,blur-5,blur,5.0,0.650,,,,,,20
textual,noise-001,noise,0.001,0.750,,,,,,20
textual,noise-005,noise,0.005,0.750,,,,,,20
textual,noise-010,noise,0.01,0.750,,,,,,20
textual,rot-15,rotation,15.0,0.750,,,,,,20
textual,rot-45,rotation,45.0,0.450,,,,,,20
textual,rot-90,rotation,90.0,0.600,,,,,,20
visual,clean,clean,0,0.700,,1.000,,,,20
visual,blur-1,blur,1.0,0.750,0.000,1.000,,,,20
visual,blur-3,blur,3.0,0.700,0.000,1.000,,,,20
visual,blur-5,blur,5.0,0.750,0.000,1.000,,,,20
visual,noise-001,noise,0.001,0.750,0.000,1.000,,,,20
visual,noise-005,noise,0.005,0.750,0.000,1.000,,,,20
visual,noise-010,noise,0.01,0.750,0.000,1.000,,,,20
visual,rot-15,rotation,15.0,0.750,,1.000,,,,20
visual,rot-45,rotation,45.0,0.550,,1.000,,,,20
visual,rot-90,rotation,90.0,0.700,,1.000,,,,20
verification,clean,clean,0,0.800,0.000,1.000,0.100,0.300,0.667,20
verification,blur-1,blur,1.0,0.800,0.000,1.000,0.150,0.250,0.600,20
verification,blur-3,blur,3.0,0.650,0.000,1.000,0.000,0.350,0.500,20
verification,blur-5,blur,5.0,0.600,0.000,1.000,0.000,0.350,0.400,20
verification,noise-001,noise,0.001,0.750,0.000,1.000,0.050,0.300,0.600,20
verification,noise-005,noise,0.005,0.700,0.000,1.000,0.000,0.350,0.600,20
verification,noise-010,noise,0.01,0.700,0.000,1.000,0.050,0.350,0.600,20
verification,rot-15,rotation,15.0,0.650,,1.000,0.050,0.300,0.400,20
verification,rot-45,rotation,45.0,0.550,,1.000,0.050,0.500,0.556,20
verification,rot-90,rotation,90.0,0.550,,1.000,0.050,0.350,0.333,20
multistage,clean,clean,0,0.800,0.000,1.000,0.450,0.050,0.000,20
